Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,287.000000,288.149994,275.850006,278.049988,256.236237,3481128
2018-01-11,278.500000,280.450012,275.500000,279.049988,257.157776,1633890
2018-01-12,279.450012,281.799988,274.950012,278.950012,257.065643,2675592
2018-01-15,280.000000,282.000000,277.350006,278.700012,256.835236,1738472
2018-01-16,277.350006,278.000000,268.700012,271.700012,250.384415,2962659
2018-01-17,273.000000,275.000000,269.549988,273.850006,252.365768,2010538
2018-01-18,274.000000,274.649994,259.350006,261.850006,241.307159,3167641
2018-01-19,261.950012,266.000000,260.350006,264.799988,244.025696,1621095
2018-01-22,265.899994,265.899994,257.299988,259.600006,239.233688,1411127
2018-01-23,261.399994,267.950012,260.200012,264.850006,244.071808,1899243
2018-01-24,264.799988,268.700012,260.649994,267.250000,246.283524,1868919
2018-01-25,269.000000,269.600006,259.600006,261.049988,240.569916,5131170
2018-01-29,263.950012,264.399994,254.750000,257.600006,237.390610,1497214
2018-01-30,256.700012,261.350006,250.750000,258.450012,238.173920,4217855
2018-01-31,259.399994,263.750000,253.550003,254.850006,234.856354,3531429
2018-02-01,255.800003,268.500000,248.399994,262.350006,241.767944,4693162
2018-02-02,258.000000,260.250000,246.000000,249.500000,229.926041,5641354
2018-02-05,241.300003,255.699997,238.399994,252.000000,232.229919,2874449
2018-02-06,240.000000,255.399994,229.550003,248.250000,228.774124,6238520
2018-02-07,250.899994,264.899994,250.149994,261.100006,240.616013,5587479
2018-02-08,261.000000,272.000000,259.149994,269.750000,248.587402,5327898
2018-02-09,262.799988,272.000000,262.649994,270.799988,249.555023,2254834
2018-02-12,272.049988,277.799988,271.100006,274.899994,253.333328,3624552
2018-02-14,279.899994,279.950012,272.500000,274.000000,252.503983,3007377
2018-02-15,274.000000,279.000000,270.549988,272.750000,251.352020,4238095
2018-02-16,273.000000,276.000000,260.049988,261.299988,240.800293,2417120
2018-02-19,262.399994,262.850006,250.100006,254.550003,234.579865,2842510
2018-02-20,255.000000,265.500000,253.649994,264.700012,243.933578,4636403
2018-02-21,266.100006,268.000000,259.100006,262.149994,241.583633,1935835
2018-02-22,260.000000,264.649994,260.000000,262.950012,242.320892,2296396
2018-02-23,264.000000,269.850006,263.000000,268.850006,247.757996,2901084
2018-02-26,270.450012,271.000000,265.750000,268.450012,247.389389,2201918
2018-02-27,269.950012,269.950012,262.149994,264.649994,243.887497,2640754
2018-02-28,265.100006,275.500000,261.700012,274.549988,253.010818,5332447
2018-03-01,274.000000,274.000000,264.700012,265.700012,244.855148,3851150
2018-03-05,266.399994,266.700012,257.700012,259.149994,238.818970,3163425
2018-03-06,260.000000,263.000000,255.000000,258.549988,238.266052,3745933
2018-03-07,260.000000,260.000000,250.500000,254.949997,234.948486,2605902
2018-03-08,255.550003,261.250000,252.399994,260.000000,239.602325,2801164
2018-03-09,263.299988,265.200012,257.799988,260.000000,239.602325,2986138
2018-03-12,260.850006,262.799988,256.149994,262.149994,241.583633,1659940
2018-03-13,260.100006,267.950012,260.100006,264.549988,243.795319,1798681
2018-03-14,263.100006,267.649994,261.950012,267.000000,246.053131,1613608
2018-03-15,266.500000,269.500000,262.399994,266.450012,245.546295,2765849
2018-03-16,264.500000,268.700012,263.250000,265.649994,244.809052,3241898
2018-03-19,263.549988,265.500000,259.250000,261.250000,240.754257,1384506
2018-03-20,261.100006,264.299988,258.000000,263.250000,242.597351,1132351
2018-03-21,263.500000,267.299988,262.700012,263.049988,242.413010,1030507
2018-03-22,262.500000,264.250000,259.799988,260.200012,239.786606,1427843
2018-03-23,253.800003,258.399994,251.649994,256.049988,235.962173,2051561
2018-03-26,257.000000,268.750000,255.000000,267.649994,246.652145,2042206
2018-03-27,269.000000,276.000000,269.000000,274.799988,253.241196,3310412
2018-03-28,272.500000,281.799988,271.600006,277.049988,255.314667,3024236
2018-04-02,277.700012,279.649994,271.299988,277.399994,255.637222,1501332
2018-04-03,277.399994,289.450012,276.000000,285.600006,263.193939,3788338
2018-04-04,286.100006,289.049988,280.500000,282.149994,260.014557,2783007
2018-04-05,284.350006,295.350006,284.350006,292.500000,269.552582,4642680
2018-04-06,292.000000,296.200012,288.899994,294.100006,271.027100,3223111
2018-04-09,294.100006,297.500000,291.200012,293.200012,270.197632,2702990
2018-04-10,296.850006,296.850006,288.000000,290.700012,267.893799,1881153
2018-04-11,290.299988,291.600006,285.750000,286.750000,264.253693,1954853
2018-04-12,288.500000,297.200012,284.299988,294.600006,271.487854,4040620
2018-04-13,296.750000,300.500000,293.500000,296.250000,273.008392,4792776
2018-04-16,293.500000,301.500000,290.549988,300.049988,276.510284,2363413
2018-04-17,301.000000,307.250000,295.200012,296.549988,273.284882,6913502
2018-04-18,298.750000,299.200012,288.250000,289.450012,266.741882,3521201
2018-04-19,291.350006,295.950012,286.549988,292.950012,269.967285,4278681
2018-04-20,291.000000,293.649994,286.200012,287.950012,265.359528,2551938
2018-04-23,287.000000,290.500000,283.950012,289.100006,266.419373,2374803
2018-04-24,289.000000,293.000000,286.600006,288.700012,266.050720,2202561
2018-04-25,288.899994,289.149994,284.000000,284.750000,262.410614,1528321
2018-04-26,283.799988,287.399994,282.049988,285.950012,263.516418,2654908
2018-04-27,287.000000,293.899994,286.500000,292.850006,269.875122,2852936
2018-04-30,295.850006,296.850006,293.049988,294.350006,271.257507,1769276
2018-05-02,296.850006,300.700012,287.649994,290.200012,267.433014,3122546
2018-05-03,291.500000,295.299988,285.149994,286.350006,263.885071,2402684
2018-05-04,285.549988,287.950012,282.000000,286.450012,263.977234,1888110
2018-05-07,287.149994,294.799988,285.549988,293.899994,270.842773,2189545
2018-05-08,294.899994,296.450012,288.200012,289.100006,266.419373,2067280
2018-05-09,288.850006,292.850006,285.549988,286.600006,264.115479,2545142
2018-05-10,288.049988,291.899994,282.100006,283.600006,261.350861,2873706
2018-05-11,288.600006,289.649994,274.100006,280.000000,258.033234,3776298
2018-05-14,281.899994,287.500000,278.549988,286.299988,263.838989,2561495
2018-05-15,285.399994,290.799988,283.450012,288.049988,265.451721,1992223
2018-05-16,287.500000,295.399994,285.200012,294.049988,270.980988,2123951
2018-05-17,295.000000,295.000000,286.899994,288.450012,265.820343,1831666
2018-05-18,289.450012,290.500000,284.500000,285.950012,263.516418,1404964
2018-05-21,285.000000,286.450012,273.149994,276.000000,254.347076,2647317
2018-05-22,276.000000,278.000000,269.600006,274.250000,252.734344,1686995
2018-05-23,273.250000,277.850006,271.250000,274.899994,253.333328,1653827
2018-05-24,275.000000,276.299988,266.250000,272.600006,251.213821,2318445
2018-05-25,272.700012,282.200012,271.049988,279.500000,257.572479,1420896
2018-05-28,282.950012,297.399994,280.500000,287.049988,264.530151,5098864
2018-05-29,288.000000,291.350006,279.149994,280.000000,258.033234,2483607
2018-05-30,277.000000,280.750000,273.750000,276.149994,254.485275,2661368
2018-05-31,276.549988,277.549988,267.000000,269.299988,248.172699,2039549
2018-06-01,269.950012,271.700012,263.000000,266.000000,245.131592,2252213
2018-06-04,269.000000,270.450012,264.350006,266.049988,245.177689,2099074
2018-06-05,268.000000,270.350006,260.600006,269.049988,247.942307,5148797
2018-06-06,269.250000,274.500000,266.649994,273.399994,251.951019,2271168
2018-06-07,274.100006,277.000000,272.299988,275.950012,254.300980,3335231
2018-06-08,275.000000,276.649994,272.600006,275.250000,253.655914,1997748
2018-06-11,276.250000,278.600006,273.799988,275.200012,253.609818,1595285
2018-06-12,274.200012,276.350006,273.000000,275.299988,253.701981,1278763
2018-06-13,275.600006,279.000000,274.250000,275.100006,253.517685,1363820
2018-06-14,274.850006,276.549988,273.000000,275.100006,253.517685,1199938
2018-06-15,275.700012,277.750000,267.200012,268.700012,247.619781,1759211
2018-06-18,269.450012,274.149994,268.000000,271.399994,250.107925,1192130
2018-06-19,271.000000,274.450012,267.750000,268.500000,247.435471,1385595
2018-06-20,268.450012,272.200012,261.500000,271.100006,249.831482,2304827
2018-06-21,274.200012,275.500000,268.950012,274.250000,252.734344,2367482
2018-06-22,273.850006,274.450012,267.149994,272.750000,251.352020,1890787
2018-06-25,272.000000,272.950012,267.799988,268.250000,247.205078,980663
2018-06-26,267.799988,270.700012,264.350006,265.799988,244.947266,2041181
2018-06-27,264.850006,266.399994,257.850006,259.750000,239.371933,1539547
2018-06-28,255.800003,260.899994,246.350006,254.649994,234.672012,3890653
2018-06-29,254.500000,258.850006,250.750000,254.000000,234.072998,2401324
2018-07-02,255.000000,258.350006,251.300003,252.399994,232.598541,1810125
2018-07-03,252.649994,255.600006,250.500000,251.649994,231.907364,1929833
2018-07-04,251.899994,254.149994,246.649994,253.300003,233.427948,2113615
2018-07-05,254.800003,256.399994,251.000000,252.050003,232.276016,1262640
2018-07-06,251.750000,262.950012,251.100006,261.500000,240.984619,3592025
2018-07-09,263.000000,266.750000,261.200012,262.100006,241.537552,3349316
2018-07-10,260.000000,267.750000,260.000000,266.700012,245.776672,1943253
2018-07-11,266.649994,268.750000,261.600006,264.799988,244.025696,1736695
2018-07-12,268.500000,272.000000,265.049988,265.750000,244.901199,2340177
2018-07-13,266.250000,270.000000,258.250000,269.000000,247.896225,2456357
2018-07-16,268.000000,270.000000,263.500000,268.250000,247.205078,1688534
2018-07-17,268.000000,279.350006,266.850006,277.250000,255.498993,2864129
2018-07-18,276.950012,276.950012,269.500000,272.000000,253.402863,2547022
2018-07-19,274.950012,284.000000,270.250000,279.750000,263.529510,2616046
2018-07-20,277.149994,289.799988,274.350006,280.299988,264.047638,5049006
2018-07-23,280.000000,280.200012,269.500000,275.899994,259.902740,3385991
2018-07-24,276.049988,280.450012,270.500000,274.350006,258.442657,2616286
2018-07-25,274.000000,282.950012,270.799988,276.850006,260.797699,3236167
2018-07-26,277.000000,290.000000,277.000000,286.850006,270.217896,7421999
2018-07-27,286.299988,293.700012,283.450012,290.399994,273.562012,2773138
2018-07-30,289.899994,293.000000,286.049988,289.450012,272.667114,2175750
2018-07-31,291.399994,296.100006,287.149994,292.799988,275.822845,4015896
2018-08-01,294.950012,299.500000,287.549988,291.600006,274.692444,11145442
2018-08-02,292.899994,294.399994,285.000000,286.250000,269.652649,3627740
2018-08-03,288.350006,290.649994,285.000000,286.649994,270.029449,2113372
2018-08-06,287.299988,288.049988,273.100006,275.899994,259.902740,5083429
2018-08-07,275.000000,278.000000,272.500000,276.799988,260.750580,3620771
2018-08-08,277.000000,277.799988,271.500000,272.549988,256.747009,2127601
2018-08-09,273.000000,276.000000,270.100006,271.299988,255.569489,2781246
2018-08-10,271.000000,272.049988,263.100006,264.000000,248.692749,2584615
2018-08-13,262.000000,265.600006,260.049988,261.549988,246.384781,2026369
2018-08-14,262.100006,267.500000,262.000000,266.950012,251.471710,3368667
2018-08-16,265.500000,267.399994,261.649994,263.450012,248.174652,2679639
2018-08-17,266.250000,269.000000,264.299988,266.700012,251.236206,1804401
2018-08-20,264.600006,266.500000,261.200012,261.850006,246.667404,4447592
2018-08-21,258.000000,264.799988,257.549988,262.600006,247.373932,6870652
2018-08-23,263.000000,263.000000,255.699997,259.250000,244.218170,3566372
2018-08-24,259.000000,264.299988,257.100006,260.700012,245.584106,3052623
2018-08-27,264.000000,266.000000,261.450012,263.750000,248.457245,2527938
2018-08-28,264.100006,265.000000,252.500000,253.850006,239.131287,6296138
2018-08-29,255.000000,256.799988,249.399994,250.500000,235.975494,3213653
