Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,546.400024,557.083984,528.398010,533.763977,526.118042,298665
2018-01-11,534.984009,547.668030,533.325012,536.885986,529.195374,342775
2018-01-12,539.570007,546.400024,534.885986,543.862976,536.072388,287700
2018-01-15,547.960999,548.010010,531.763977,534.153992,526.502502,153254
2018-01-16,538.495972,551.132019,531.763977,536.155029,528.474854,492411
2018-01-17,536.155029,536.642029,519.664978,525.031006,517.510193,329296
2018-01-18,528.544006,548.252991,512.250000,516.835022,509.431610,558344
2018-01-19,518.299011,526.835999,490.979004,517.859985,510.441925,350121
2018-01-22,520.835999,522.739014,506.394989,509.029999,501.738373,139737
2018-01-23,509.321991,526.202026,509.321991,514.346985,506.979218,314561
2018-01-24,514.200989,521.518982,514.200989,516.494019,509.095459,254020
2018-01-25,517.127991,517.127991,496.638000,499.712006,492.553864,127920
2018-01-29,498.589996,512.250000,482.002014,484.343994,477.406006,228757
2018-01-30,484.343994,486.881012,469.415985,483.173004,476.251770,194644
2018-01-31,482.002014,499.565002,470.294006,476.246002,469.424011,216542
2018-02-01,477.903992,486.295990,458.584991,459.220001,452.641907,296945
2018-02-02,456.634003,456.634003,421.459015,430.045990,423.885803,530675
2018-02-05,417.165985,434.192993,395.700989,421.946991,415.902802,481719
2018-02-06,401.018005,441.023010,390.285004,435.949005,429.704254,382841
2018-02-07,444.194000,480.050995,444.194000,477.416992,470.578247,1328842
2018-02-08,482.832001,506.053986,466.585999,497.760010,490.629822,1579715
2018-02-09,478.100006,531.763977,474.294006,523.958008,516.452576,1252286
2018-02-12,530.494995,543.130981,497.467987,501.516998,494.333008,826950
2018-02-14,505.809998,517.127991,497.614014,500.735992,493.563171,487585
2018-02-15,504.248993,511.273987,482.977997,487.661987,480.676453,253605
2018-02-16,496.101990,497.419006,479.466003,493.272003,486.206116,354060
2018-02-19,490.783997,499.076996,480.148987,494.199005,487.119843,391056
2018-02-20,492.734985,501.419006,485.904999,490.295990,483.272736,222989
2018-02-21,493.661987,495.076996,484.490997,490.638000,483.609833,107422
2018-02-22,486.881012,499.516998,483.125000,488.197998,481.204803,289904
2018-02-23,491.760010,498.980011,484.929993,493.321014,486.254425,304584
2018-02-26,496.833008,519.372009,491.808014,516.250000,508.854950,773989
2018-02-27,520.932983,532.447021,509.321991,526.982971,519.434204,718781
2018-02-28,521.031006,525.323975,508.882996,514.737976,507.364594,253518
2018-03-01,515.810974,534.398010,515.226013,523.908997,516.404236,517244
2018-03-05,525.031006,538.544983,513.224976,533.276001,525.637085,470830
2018-03-06,537.617981,562.987000,533.715027,554.156006,546.217957,1142138
2018-03-07,555.132019,562.010986,534.934998,539.374023,531.647705,747216
2018-03-08,542.692017,556.937012,539.960022,551.033997,543.140686,644921
2018-03-09,556.546997,559.961975,546.643005,552.059021,544.151001,368508
2018-03-12,557.132019,569.817017,553.375977,562.547974,554.489746,528858
2018-03-13,563.961975,608.844971,550.984985,596.843994,588.294495,1354844
2018-03-14,592.257996,617.333984,587.184021,606.210999,597.527283,1088026
2018-03-15,606.161987,618.992981,590.551025,597.575989,589.015991,1032072
2018-03-16,595.672974,610.796997,565.182007,572.109985,563.914795,586382
2018-03-19,576.646973,585.330994,535.911011,544.008972,536.216309,648707
2018-03-20,539.862000,560.742981,530.836975,539.911011,532.177063,714095
2018-03-21,545.814026,554.596008,533.520020,537.325012,529.628113,454194
2018-03-22,539.570007,553.132019,518.396973,522.202026,514.721741,782351
2018-03-23,507.371002,527.861023,500.540985,519.226013,511.788361,634826
2018-03-26,520.104004,552.156006,520.104004,548.156006,540.303955,761611
2018-03-27,553.619995,567.864990,551.375977,558.693970,550.690918,598303
2018-03-28,555.669006,561.034973,544.497009,550.400024,542.515808,289357
2018-04-02,551.375977,566.841003,551.375977,560.742981,552.710632,257766
2018-04-03,561.034973,622.505005,558.497986,605.380981,596.709229,1425033
2018-04-04,624.114990,647.874023,588.354980,594.210022,585.698242,3107403
