Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,875.000000,896.250000,865.000000,868.200012,844.330627,555213
2018-01-11,869.000000,872.900024,845.000000,853.700012,830.229309,100210
2018-01-12,857.099976,873.950012,822.099976,841.799988,818.656433,165138
2018-01-15,851.000000,935.000000,849.150024,919.099976,893.831238,917386
2018-01-16,929.000000,929.200012,864.099976,891.099976,866.601013,404076
2018-01-17,889.900024,918.950012,863.000000,905.450012,880.556519,297274
2018-01-18,911.000000,913.150024,853.150024,871.400024,847.442627,114283
2018-01-19,874.000000,889.599976,859.799988,876.000000,851.916199,85159
2018-01-22,876.000000,900.000000,860.150024,890.599976,866.114746,172080
2018-01-23,895.549988,899.799988,860.549988,872.349976,848.366516,114720
2018-01-24,878.000000,891.000000,840.049988,847.599976,824.296936,112490
2018-01-25,848.250000,859.950012,821.500000,825.400024,802.707397,126280
2018-01-29,835.950012,844.950012,790.200012,795.500000,773.629395,105094
2018-01-30,798.000000,802.799988,752.000000,768.650024,747.517578,131770
2018-01-31,774.000000,775.799988,749.200012,752.200012,731.519775,75604
2018-02-01,757.000000,757.150024,733.099976,753.450012,732.735413,130134
2018-02-02,739.099976,748.000000,690.000000,708.549988,689.069885,136256
2018-02-05,676.049988,745.000000,670.299988,739.650024,719.314880,180512
2018-02-06,718.799988,730.000000,681.200012,720.950012,701.128967,136483
2018-02-07,750.000000,750.000000,711.049988,723.250000,703.365784,182735
2018-02-08,724.000000,743.000000,716.150024,730.150024,710.076050,102630
2018-02-09,714.000000,752.000000,710.250000,742.950012,722.524109,182461
2018-02-12,752.000000,772.000000,741.099976,759.750000,738.862244,150597
2018-02-14,771.049988,794.400024,765.799988,772.150024,750.921326,167841
2018-02-15,779.000000,824.400024,779.000000,807.400024,785.202209,469842
2018-02-16,813.450012,819.549988,782.049988,790.150024,768.426514,125692
2018-02-19,794.000000,796.849976,759.500000,763.799988,742.800903,96142
2018-02-20,768.500000,781.450012,743.650024,748.700012,728.116028,85321
2018-02-21,752.000000,763.950012,735.650024,757.250000,736.430969,98909
2018-02-22,747.099976,778.799988,734.849976,737.049988,716.786316,191108
2018-02-23,742.599976,759.400024,741.950012,748.549988,727.970154,100100
2018-02-26,755.000000,767.900024,752.000000,761.000000,740.077881,100491
