Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,448.899994,449.899994,442.000000,446.500000,439.762238,40286
2018-01-11,450.600006,459.950012,447.100006,449.399994,442.618469,42701
2018-01-12,450.049988,456.899994,445.000000,446.000000,439.269775,50623
2018-01-15,445.500000,455.000000,433.000000,438.450012,431.833740,54475
2018-01-16,439.950012,460.399994,439.899994,448.299988,441.535034,191934
2018-01-17,451.000000,452.649994,443.000000,447.700012,440.944153,258630
2018-01-18,449.049988,451.149994,440.100006,443.350006,436.659790,46046
2018-01-19,442.000000,444.750000,428.000000,433.649994,427.106140,104130
2018-01-22,433.049988,437.049988,429.000000,430.700012,424.200684,27503
2018-01-23,435.000000,438.950012,425.200012,428.200012,421.738403,67623
2018-01-24,429.950012,431.899994,422.000000,424.149994,417.749512,32698
2018-01-25,428.000000,428.000000,418.000000,421.049988,414.696259,68586
2018-01-29,416.799988,424.000000,411.000000,412.799988,406.570770,92688
2018-01-30,416.950012,416.950012,406.200012,413.149994,406.915497,93008
2018-01-31,416.000000,420.000000,410.549988,411.750000,405.536652,557088
2018-02-01,411.000000,420.899994,408.950012,413.250000,407.013977,364390
2018-02-02,412.049988,412.350006,403.200012,405.200012,399.085480,77440
2018-02-05,405.000000,418.000000,399.000000,409.350006,403.172821,66440
2018-02-06,402.000000,410.000000,390.000000,401.649994,395.589050,93486
2018-02-07,409.000000,412.850006,402.000000,406.200012,400.070404,51426
2018-02-08,410.950012,426.549988,402.000000,419.250000,412.923462,99405
2018-02-09,412.700012,436.899994,401.700012,415.100006,408.836090,48117
2018-02-12,415.000000,425.000000,410.850006,423.799988,417.404785,64468
2018-02-14,424.399994,430.000000,417.100006,425.549988,419.128387,67938
2018-02-15,424.100006,429.600006,418.600006,422.750000,416.370667,52990
2018-02-16,422.750000,429.899994,418.049988,420.750000,414.400818,79428
2018-02-19,419.700012,422.850006,410.000000,415.950012,409.673248,36385
2018-02-20,411.000000,420.799988,411.000000,419.100006,412.775726,45271
