Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,6401.000000,6499.000000,6350.000000,6380.750000,6225.334473,2588
2018-01-11,6390.000000,6444.000000,6375.049805,6385.450195,6229.919922,1727
2018-01-12,6387.049805,6478.000000,6352.000000,6428.350098,6271.774414,3151
2018-01-15,6420.000000,6450.000000,6296.000000,6396.000000,6240.212402,6995
2018-01-16,6396.350098,6415.549805,6270.000000,6288.350098,6135.185059,5043
2018-01-17,6288.000000,6288.000000,6180.000000,6233.899902,6082.061035,3320
2018-01-18,6248.049805,6318.950195,6030.000000,6081.350098,5933.226563,4407
2018-01-19,6080.000000,6160.000000,6050.000000,6116.899902,5967.910645,2141
2018-01-22,6120.000000,6249.899902,6045.100098,6226.149902,6074.499512,5641
2018-01-23,6226.149902,6273.899902,6181.950195,6210.450195,6059.182129,3298
2018-01-24,6200.000000,6250.000000,6170.100098,6205.149902,6054.011230,4403
2018-01-25,6215.000000,6230.000000,6161.000000,6205.049805,6053.913574,2252
2018-01-29,6239.000000,6249.799805,6200.000000,6203.500000,6052.401367,4722
2018-01-30,6175.000000,6305.450195,6096.600098,6104.850098,5956.154297,4638
2018-01-31,6100.000000,6196.950195,6000.100098,6023.049805,5876.346191,2502
2018-02-01,6041.549805,6132.899902,5921.000000,6096.850098,5948.349121,18714
2018-02-02,5953.049805,6100.000000,5750.000000,5799.649902,5658.387695,8205
2018-02-05,5625.000000,5783.950195,5616.000000,5714.299805,5575.116699,24252
2018-02-06,5405.000000,5740.000000,5405.000000,5717.049805,5577.799316,4534
2018-02-07,5755.000000,5821.000000,5651.049805,5680.750000,5542.383789,13114
2018-02-08,5735.000000,5793.950195,5672.149902,5724.350098,5584.921875,1788
2018-02-09,5688.000000,5800.000000,5600.049805,5738.299805,5598.531738,2041
2018-02-12,5774.549805,5910.700195,5750.000000,5862.649902,5719.853027,1903
2018-02-14,5910.000000,5945.450195,5880.000000,5902.500000,5758.732910,2137
2018-02-15,5883.750000,5940.049805,5861.000000,5884.200195,5740.878906,1431
2018-02-16,5930.000000,5943.000000,5851.000000,5865.850098,5722.975586,2170
2018-02-19,5875.000000,6090.000000,5800.100098,6047.500000,5900.200684,14979
2018-02-20,6089.750000,6181.899902,6001.000000,6074.399902,5926.445801,12139
2018-02-21,6100.000000,6130.049805,5953.000000,6022.350098,5875.663574,8559
2018-02-22,6049.950195,6060.850098,6000.100098,6027.049805,5880.248535,1530
2018-02-23,6030.950195,6250.000000,6006.350098,6180.799805,6030.253906,12170
2018-02-26,6300.000000,6495.000000,6200.000000,6392.899902,6237.187988,16341
2018-02-27,6418.950195,6549.000000,6390.000000,6427.750000,6271.188965,5237
2018-02-28,6352.000000,6825.000000,6315.000000,6778.600098,6613.494141,21607
2018-03-01,6726.000000,6841.600098,6650.000000,6665.799805,6503.440430,8933
